n,SingleCore,MultiCore,iGPU
2,52,149,350
3,37,98,199
4,31,89,191
5,31,86,187
6,29,86,183
7,26,105,189
8,21,80,189
9,17,81,188
10,15,75,188
11,13,79,191
12,12,68,188
13,10,46,186
14,10,35,189
15,10,34,188
16,10,34,188
17,10,41,190
18,9,34,189
19,9,34,185
20,10,31,182
21,9,25,188
22,10,44,200
23,10,33,184
24,10,32,185
25,10,27,190
26,10,25,183
27,10,54,190
28,10,31,184
29,10,25,189
30,10,32,183
31,10,41,185
32,10,44,193
33,10,36,183
34,11,37,188
35,12,45,187
36,11,38,183
37,11,37,193
38,11,37,185
39,11,47,182
40,11,36,184
41,11,31,187
42,11,38,193
43,11,35,184
44,11,34,185
45,11,25,190
46,11,25,180
47,11,30,192
48,11,49,182
49,11,27,184
50,11,25,189
51,12,27,184
52,11,55,188
53,11,36,185
54,11,36,190
55,11,38,189
56,11,30,193
57,11,27,191
58,12,56,188
59,12,31,184
60,12,35,183
61,12,37,181
62,12,40,189
63,12,36,187
64,12,37,185
65,12,42,186
66,12,37,186
67,12,47,187
68,12,37,185
69,12,43,187
70,12,37,188
71,12,36,186
72,12,38,193
73,12,28,183
74,12,26,185
75,12,25,186
76,12,40,183
77,12,51,187
78,12,26,187
79,12,27,186
80,12,41,187
81,12,37,187
82,12,28,198
83,12,52,186
84,12,39,189
85,12,39,182
86,12,38,185
87,12,33,198
88,11,26,185
89,11,28,186
90,12,30,187
91,12,32,182
92,12,44,193
93,13,26,189
94,12,31,183
95,11,35,188
96,12,37,184
97,12,41,194
98,12,44,191
99,12,35,183
100,12,26,184
110,12,33,185
120,12,44,199
130,12,41,188
140,14,35,186
150,13,37,185
160,13,37,183
170,14,51,200
180,14,27,190
190,14,27,185
200,14,45,183
210,14,45,189
220,13,55,190
230,14,42,185
240,14,40,189
250,14,27,185
260,14,27,188
270,15,37,192
280,14,34,186
290,14,28,186
300,14,43,189
310,14,46,190
320,14,33,191
330,14,43,184
340,14,50,184
350,14,36,185
360,14,39,184
370,14,41,187
380,14,43,187
390,15,41,188
400,15,41,188
410,15,41,188
420,16,44,191
430,15,39,187
440,15,30,185
450,16,29,188
460,15,28,186
470,15,35,190
480,15,30,185
490,15,29,185
500,16,29,187
510,16,29,185
520,16,43,197
530,17,36,185
540,17,29,185
550,17,31,185
560,17,32,189
570,17,36,190
580,18,33,186
590,18,33,191
600,18,34,185
610,18,37,187
620,17,40,197
630,17,44,186
640,17,42,189
650,18,43,186
660,18,43,187
670,19,36,192
680,19,30,189
690,19,30,189
700,18,30,183
710,18,30,186
720,19,36,193
730,19,33,189
740,19,32,185
750,19,31,187
760,19,33,187
770,19,33,197
780,21,33,188
790,20,33,185
800,20,47,189
810,20,42,191
820,19,47,194
830,19,44,188
840,20,43,191
850,20,43,187
860,19,43,186
870,20,43,196
880,20,32,184
890,20,33,187
900,20,32,185
910,20,32,186
920,23,36,190
930,20,34,185
940,20,32,186
950,20,32,184
960,20,33,187
970,21,47,194
980,21,46,188
990,20,44,185
1000,20,45,183
1100,22,45,194
1200,23,44,192
1300,24,39,189
1400,26,37,189
1500,26,37,189
1600,26,37,186
1700,29,40,202
1800,27,39,188
1900,30,40,190
2000,29,42,192
2100,30,41,204
2200,33,45,203
2300,33,51,193
2400,34,54,201
2500,35,45,204
2600,36,44,207
2700,38,48,219
2800,38,46,212
2900,39,48,205
3000,41,66,207
3100,42,51,227
3200,45,63,229
3300,43,63,225
3400,44,63,223
3500,44,65,227
3600,46,64,224
3700,48,66,230
3800,47,66,226
3900,49,66,224
4000,50,67,228
4100,51,68,226
4200,53,63,232
4300,53,54,225
4400,54,56,227
4500,55,56,226
4600,55,56,228
4700,57,59,235
4800,58,64,238
4900,61,58,237
5000,59,59,233
5100,60,59,240
5200,63,61,244
5300,64,61,240
5400,64,61,235
5500,65,61,234
5600,66,61,235
5700,68,65,246
5800,69,63,239
5900,68,65,235
6000,68,64,226
6100,69,64,233
6200,71,79,246
6300,71,67,234
6400,72,66,238
6500,72,67,242
6600,76,68,240
6700,76,71,246
6800,82,68,237
6900,76,70,235
7000,77,70,235
7100,80,70,237
7200,82,73,245
7300,80,76,236
7400,82,72,237
7500,83,73,236
7600,82,73,236
7700,86,82,245
7800,86,74,242
7900,85,75,237
8000,87,76,237
8100,90,76,240
8200,91,79,249
8300,89,77,241
8400,91,78,237
8500,90,82,240
8600,92,79,236
8700,94,86,245
8800,100,82,237
8900,97,83,238
9000,95,82,237
9100,96,82,241
9200,99,89,244
9300,100,83,240
9400,99,84,243
9500,105,84,247
9600,102,85,239
