n,SingleCore,MultiCore,iGPU
2,47,170,318
3,9,120,203
4,10,117,184
5,9,100,198
6,9,96,211
7,9,105,197
8,11,67,187
9,9,55,188
10,9,46,185
11,9,40,184
12,9,34,192
13,10,44,185
14,9,65,187
15,9,39,188
16,9,39,192
17,9,40,192
18,10,39,192
19,10,32,190
20,9,42,190
21,10,39,189
22,10,43,197
23,10,44,188
24,10,35,187
25,10,29,189
26,10,47,193
27,10,56,205
28,11,37,186
29,11,29,189
30,10,53,186
31,10,40,183
32,10,42,189
33,10,40,187
34,10,39,186
35,10,40,189
36,11,40,186
37,11,40,198
38,11,39,188
39,11,30,190
40,11,40,189
41,11,40,190
42,11,45,197
43,11,45,189
44,11,38,187
45,11,38,188
46,11,39,191
47,11,39,194
48,11,29,192
49,11,29,190
50,13,38,190
51,12,51,190
52,11,42,197
53,11,30,189
54,11,34,187
55,12,40,189
56,12,31,187
57,11,41,194
58,11,35,186
59,11,36,183
60,11,43,187
61,12,40,188
62,11,43,194
63,11,40,186
64,11,34,184
65,11,35,187
66,11,34,189
67,11,35,199
68,11,30,191
69,11,31,190
70,11,31,188
71,11,30,189
72,11,44,201
73,11,46,190
74,11,34,187
75,11,30,189
76,11,30,187
77,11,44,195
78,11,39,186
79,11,38,186
80,11,41,189
81,11,40,186
82,12,43,196
83,11,38,185
84,12,31,184
85,13,31,186
86,12,39,186
87,12,42,195
88,11,30,190
89,12,31,185
90,12,34,193
91,12,43,188
92,12,39,196
93,11,31,184
94,11,48,193
95,12,40,188
96,12,41,190
97,12,34,193
98,12,42,190
99,12,39,185
100,12,31,186
110,12,31,187
120,12,42,195
130,12,41,185
140,12,35,186
150,12,38,186
160,13,45,191
170,13,45,192
180,13,44,187
190,13,34,190
200,13,34,190
210,13,43,189
220,14,45,191
230,13,34,188
240,13,32,185
250,14,46,188
260,14,43,187
270,14,36,196
280,14,33,187
290,14,44,188
300,14,40,191
310,14,41,189
320,14,52,196
330,14,41,194
340,14,41,185
350,14,44,185
360,14,44,186
370,15,41,197
380,15,35,189
390,15,37,188
400,15,39,189
410,15,36,184
420,15,53,197
430,15,43,191
440,15,43,186
450,15,50,184
460,15,41,188
470,15,46,199
480,15,44,185
490,16,42,188
500,16,43,186
510,17,43,190
520,17,39,193
530,16,43,189
540,16,38,188
550,16,44,186
560,16,44,188
570,17,43,188
580,17,33,188
590,17,39,185
600,17,42,186
610,17,42,184
620,17,41,193
630,17,34,184
640,17,40,184
650,18,34,182
660,17,34,181
670,18,40,194
680,19,48,186
690,18,41,187
700,18,34,185
710,18,34,190
720,19,41,191
730,18,39,187
740,19,35,188
