n,SingleCore,MultiCore,iGPU
2,56,65,303
3,10,32,73
4,11,16,64
5,11,13,67
6,12,13,64
7,12,16,66
8,12,14,66
9,12,14,65
10,12,20,63
11,12,63,64
12,12,16,65
13,12,14,65
14,12,14,64
15,12,14,67
16,12,14,74
17,12,18,72
18,12,14,69
19,12,14,67
20,12,14,68
21,12,18,68
22,12,17,66
23,12,16,62
24,12,14,62
25,12,15,64
26,12,14,60
27,12,16,62
28,12,19,59
29,12,14,60
30,12,16,57
31,12,14,53
32,12,18,52
33,12,14,53
34,12,14,52
35,12,18,54
36,12,15,54
37,12,18,52
38,12,15,52
39,12,14,54
40,12,14,52
41,12,14,52
42,12,20,52
43,12,15,51
44,12,16,51
45,12,14,50
46,12,15,49
47,12,18,49
48,12,14,49
49,12,20,49
50,12,44,50
51,12,15,49
52,12,17,50
53,12,15,51
54,13,20,52
55,13,22,51
56,13,19,50
57,13,19,52
58,13,15,51
59,13,15,55
60,13,19,49
61,13,15,52
62,13,18,52
63,13,18,53
64,13,15,51
65,13,15,51
66,13,15,50
67,13,23,50
68,13,17,50
69,13,15,50
70,13,16,53
71,13,15,52
72,13,16,51
73,13,21,50
74,13,19,51
75,13,15,50
76,13,16,52
77,13,17,51
78,13,15,52
79,13,15,54
80,13,21,54
81,13,16,50
82,13,18,50
83,13,15,51
84,13,15,54
85,13,15,53
86,14,20,50
87,14,19,50
88,14,16,51
89,14,16,48
90,13,15,49
91,14,15,49
92,14,16,52
93,14,21,52
94,14,17,51
95,14,15,49
96,14,16,49
97,14,17,49
98,14,15,49
99,14,21,47
100,14,17,49
110,14,15,48
120,14,19,49
130,14,15,49
140,14,15,52
150,14,20,50
160,14,17,49
170,14,19,49
180,14,16,48
190,15,16,65
200,15,16,50
210,15,16,47
220,15,23,46
230,15,18,46
240,15,16,46
250,15,17,46
260,15,16,50
270,15,17,46
280,15,22,46
290,16,19,47
300,16,16,45
310,16,17,46
320,16,19,47
330,16,16,46
340,16,21,48
350,16,20,46
360,16,16,49
370,16,19,49
380,16,17,48
390,17,17,48
400,17,23,47
410,17,19,47
420,17,19,49
430,17,19,49
440,17,17,48
450,17,17,49
460,17,23,47
470,17,21,46
480,17,18,48
490,18,17,45
500,18,17,46
510,18,17,46
520,18,23,46
530,18,20,46
540,18,18,46
